Time,Voltage ,Temprature
586.9533908,1.121826,15.09791861
588.722361,1.121916667,15.00540431
590.4984489,1.122316,14.95034514
592.2631464,1.123666667,14.8734607
594.0362464,1.124746667,14.80769757
596.0340725,1.12587,14.69638958
598.026313,1.126408,14.57675174
599.8030575,1.127835,14.45912304
601.5721456,1.129303333,14.36039553
603.336455,1.130258,14.26508145
605.1051683,1.131185,14.18885539
606.8677134,1.13264,14.086695
608.8491201,1.132995714,13.97149688
610.8181797,1.156113333,13.85447625
612.585713,1.155728333,13.76748801
614.3610092,1.156352,13.67081191
616.1275224,1.156526667,13.56282573
617.895282,1.157234,13.45396481
619.6544929,1.157188333,13.31917069
621.6361975,1.156975714,13.18596917
623.6422908,1.156575,13.08149517
625.4059524,1.156872,12.9703715
627.155792,1.156175,12.82055597
628.9105449,1.15618,12.70325793
630.675792,1.155696667,12.62275077
632.4421404,1.15534,12.55465346
634.4384995,1.155085714,12.46170534
636.4274498,1.154858333,12.36890309
638.1742558,1.154428,12.28214925
639.9328482,1.154501667,12.19218665
641.698532,1.154828333,12.08156715
643.4600888,1.154744,11.96682476
645.4811133,1.155394286,11.84216501
647.4595336,1.154033333,11.71345153
649.2341067,1.153854,11.6063738
650.9874352,1.15357,11.49599744
652.7437696,1.153303333,11.39251471
654.5037575,1.153336,11.29253531
656.287157,1.153436667,11.18834859
658.2540941,1.153958571,11.08533636
660.2421352,1.154598,10.96431775
661.9931192,1.154918333,10.85542425
663.7634908,1.154798333,10.74983427
665.5430954,1.15468,10.64742869
667.3068501,1.154486667,10.56179008
669.2713761,1.154691429,10.44451865
671.2608729,1.154502,10.3140383
673.0393349,1.154561667,10.20728327
674.8025898,1.154646,10.08989969
676.5618388,1.155171667,9.970464045
678.319713,1.154698333,9.857020991
680.0620505,1.154522,9.749758273
682.0634503,1.154734286,9.614969673
684.0573908,1.154928333,9.491276841
685.835128,1.154558,9.38328673
687.5927696,1.15462,9.273486808
689.3561908,1.153283333,9.15842698
691.1332024,1.152868,9.037360924
692.8912951,1.152848333,8.914108346
694.8735469,1.152651429,8.76957566
696.8784325,1.152212,8.630226646
698.6598335,1.151973333,8.500629522
700.4169464,1.15193,8.36429103
702.1766797,1.151773333,8.218524321
703.9546123,1.151686667,8.067642914
705.7246123,1.151574,7.928162007
707.684894,1.15156,7.774015677
709.6777471,1.151305,7.601443629
711.4300055,1.151452,7.454907348
713.1873061,1.151741667,7.307922861
714.9681686,1.151116667,7.165367352
716.7410245,1.151356,7.028427027
718.7247958,1.151322857,6.881956799
720.7037246,1.150998333,6.729399273
722.4664979,1.151005,6.58323051
724.2421853,1.150938,6.44572332
726.0006123,1.150603333,6.304869518
727.7553923,1.150926,6.176373896
729.5213501,1.150458333,6.048314603
731.4906334,1.149995714,5.898524448
733.4647251,1.149694,5.74228556
735.2363763,1.149878333,5.588862785
736.9965169,1.149863333,5.43009881
738.7581241,1.151368,5.281137914
740.5273004,1.150536667,5.127095522
742.5097067,1.149871429,4.957646602
744.4970643,1.149382,4.778218313
746.2797797,1.148995,4.639623908
748.0501067,1.148706667,4.499664783
749.8148595,1.148534,4.36323724
751.5652401,1.148245,4.226440478
753.3362352,1.148008,4.091110209
755.3016354,1.14754,3.936249384
757.5808702,1.14701,3.784216427
759.1993639,1.146882,3.655651499
760.8612241,1.14669,3.516778551
762.6320575,1.146455,3.373881073
764.3766797,1.14624,3.245005044
766.1527019,1.146053333,3.11450718
768.1652065,1.145585714,2.964393992
770.1223464,1.145238,2.807732406
771.8959865,1.144808333,2.66007711
773.6480241,1.144716,2.517369269
775.4340533,1.144558333,2.373808275
777.2089943,1.144068333,2.201583811
778.9638388,1.143818,2.05459328
780.9339161,1.143538571,1.917320247
782.9077471,1.143285,1.77047753
784.65535,1.142794,1.621412917
786.4457138,1.142261667,1.473505396
788.2128819,1.141942,1.321864552
789.9638575,1.142095,1.176456741
791.9556437,1.142038571,1.008738757
793.9403876,1.141356,0.848110604
795.7028595,1.140976667,0.715432132
797.4705898,1.140595,0.56828396
799.2407471,1.140258,0.436194893
800.9870705,1.13985,0.307000763
802.7384774,1.139404,0.175565714
804.7160161,1.139307143,0.022037819
806.678264,1.138951667,-0.13876565
808.4536138,1.138838,-0.264512433
810.2235561,1.138361667,-0.393943733
811.9709297,1.138058333,-0.527404246
813.7191741,1.137884,-0.659619277
815.7197937,1.137471429,-0.794188114
817.7075184,1.137223333,-0.919983034
819.4846235,1.136934,-1.061014651
821.273657,1.136655,-1.27837531
823.0160206,1.136415,-1.393181954
824.7761342,1.13617,-1.514294899
826.5492527,1.135978333,-1.637566817
828.5191211,1.135835714,-1.875031481
830.4935786,1.13559,-2.260484749
832.2534297,1.136543333,-2.623693362
834.0273797,1.136492,-2.992578653
835.7992415,1.136188333,-3.363113656
837.5827583,1.135818,-3.76854159
839.5585469,1.135572857,-4.195684248
841.5576797,1.135205,-4.610884917
843.3306797,1.13486,-4.993322215
845.0895898,1.134664,-5.369150109
846.8495073,1.134228333,-5.819269931
848.605313,1.133708,-6.16095542
850.3903161,1.13349,-6.534816103
852.3593524,1.132914286,-6.984356877
854.3541253,1.132114,-7.43394146
856.1076797,1.131426667,-7.833128452
857.86141,1.130718333,-8.247706387
859.6328145,1.129802,-8.615360004
861.3999464,1.129046667,-9.049939129
863.1619352,1.128404,-9.482752148
865.1300615,1.127604286,-9.995101423
867.1931136,1.1265425,-10.4486474
868.7746936,1.125825,-10.85166277
870.6508251,1.124794286,-11.35804195
872.6071229,1.124148,-11.85054421
874.3859654,1.122968333,-12.28682738
876.171234,1.122186,-12.74222139
877.9318388,1.121028333,-13.22386651
879.6931797,1.12009,-13.68255794
881.4884709,1.119105,-14.14393191
883.4870491,1.117702857,-14.71066042
885.4433763,1.116506667,-15.2729253
887.2279494,1.115244,-15.72416449
888.9943061,1.113875,-16.272887
890.7586337,1.112634,-16.74452292
892.7871712,1.11123375,-17.26783317
895.029263,1.10987,-17.95269365
896.2748061,1.108983333,-18.32951255
898.0246559,1.107356667,-18.78829949
899.8436368,1.105948,-19.28687451
901.9123771,1.104148,-19.8424871
903.5962611,1.102723333,-20.33910535
905.3410797,1.10134,-20.79950128
907.1321067,1.09954,-21.27180204
909.1120514,1.097381429,-21.87621311
911.090782,1.095328333,-22.4634601
912.8466575,1.093322,-23.07342857
914.6078819,1.088883333,-23.55158267
916.3550842,1.085816,-24.04035466
918.1221686,1.083705,-24.48793396
920.1081319,1.081577143,-25.00152083
922.1068145,1.079918,-25.53259064
923.8667372,1.078568333,-25.98646967
925.6374464,1.077004,-26.42024028
927.4095073,1.075203333,-26.85918967
929.1715188,1.073275,-27.29672971
930.9357786,1.071844,-27.72240707
932.9069833,1.070364286,-28.22457434
934.8695661,1.068446667,-28.71409017
936.6362365,1.067096,-29.13654253
938.3814929,1.065626667,-29.57227655
940.1371019,1.064125,-30.00571307
