Time,Voltage 1,Temperature
8958.385555,1.743996,5.823969166
8960.092042,1.779881667,5.839873809
8961.683477,1.774258,5.856202277
8963.642772,1.73172,5.875223311
8965.144438,1.725,5.883150178
8967.437969,1.656808,5.889475723
8969.584336,1.59986,5.894864021
8971.25846,1.6043925,5.89536935
8973.18243,1.593491667,5.912160597
8974.948055,1.581842,5.912819421
8976.698055,1.578025,5.927345741
8978.448055,1.628544,5.925893787
8980.321799,1.58291,5.930258581
8982.514465,1.64149,5.940084932
8984.584902,1.72161,5.947078004
8986.121972,1.715895,5.957686766
8987.698055,1.786831667,5.968133281
8989.448198,1.729808,5.965619694
8991.419044,1.674474286,5.981216162
8993.40118,1.644093333,5.991694606
8995.158989,1.533744,5.999484143
8996.916805,1.555556667,6.008725254
8998.666805,1.576208,6.019347508
9000.416805,1.592868333,6.023638557
9002.282744,1.793112857,6.03828661
9004.592717,1.395855,6.036959062
9005.920856,1.650853333,6.045809319
9007.86993,1.813971429,6.047367045
9009.832441,1.758666,6.055708126
9011.589531,1.72338,6.052018068
9013.369224,1.578126667,6.070095469
9015.11993,1.49864,6.073720997
9016.888825,1.546075,6.085473542
9018.854308,1.53027,6.094132271
9020.831862,1.519402,6.098466096
9022.592368,1.51767,6.096752388
9024.351139,1.511486667,6.096349723
9026.129427,1.52444,6.098926484
9027.885698,1.523505,6.103024932
9029.866054,1.520395714,6.109390586
9031.83677,1.522232,6.112653937
9033.595939,1.566328333,6.12473146
9035.365635,1.590944,6.129015039
9037.128022,1.59511,6.132838368
9038.894769,1.59523,6.129341142
9040.658706,1.629385,6.133170803
9042.645937,1.565918571,6.14354207
9044.60868,1.565816,6.143662267
9046.389599,1.579441667,6.153814602
9048.160528,1.569154,6.161869873
9049.926992,1.582748333,6.164375927
9051.689248,1.586141667,6.17308302
9053.687848,1.585478333,6.177322697
9055.680391,1.580985,6.183177188
9057.445643,1.638622,6.190765263
9059.203452,1.679846667,6.198359586
9060.96368,1.664036,6.206266984
9062.727064,1.653908333,6.205538262
9064.503022,1.618436667,6.216034421
9066.483723,1.623068333,6.225659612
9068.481298,1.574363333,6.231989109
9070.220755,1.556394,6.234571461
9071.98158,1.653895,6.244255122
9073.762653,1.66609,6.253491253
9075.531474,1.620966667,6.261416842
9077.280532,1.596258,6.271764698
9079.284665,1.588875714,6.27964145
9081.270885,1.585651667,6.285090633
9083.035939,1.610562,6.295048057
9084.807788,1.605853333,6.298218043
9086.562742,1.603536667,6.313447649
9088.329725,1.626616,6.316745328
9090.099175,1.624191667,6.321027121
9092.076737,1.597063333,6.333299652
9094.052436,1.675663333,6.352819841
9095.823258,1.665668,6.368910294
9097.562962,1.640511667,6.372271414
